url,recette,commentext,auteur,date,note
http://www.marmiton.org/recettes/recette-avis_verrines-aux-fraises-mascarpone-et-creme-anglaise_72416.aspx,Verrines aux fraises mascarpone et crème anglaise,"Délicieux. J'ai utilisé des fruits rouges surgelés car ce n'est pas la saison des fraises. Par contre, j'ai divisé les quantités par deux et j'ai quand même pu faire 6 verrines (et pas des petites)",Angelique_Louane,20/01/20,5
http://www.marmiton.org/recettes/recette-avis_verrines-aux-fraises-mascarpone-et-creme-anglaise_72416.aspx,Verrines aux fraises mascarpone et crème anglaise,Trop bonnes ces petites verrines !! Succès assuré! Même que Faustine en a rêvé !!,jennycaina,01/06/20,5
http://www.marmiton.org/recettes/recette-avis_verrines-aux-fraises-mascarpone-et-creme-anglaise_72416.aspx,Verrines aux fraises mascarpone et crème anglaise,"Super tout le monde s'est régalé, on en a pris et repris... justement la quantité peut être divisée largement par deux à moins de faire des coupelles plutôt que des verrines... ou alors mes verrines sont vraiment trop petites.",Sophie_5354,23/04/20,5
http://www.marmiton.org/recettes/recette-avis_verrines-aux-fraises-mascarpone-et-creme-anglaise_72416.aspx,Verrines aux fraises mascarpone et crème anglaise,"Délicieux, tout simplement délicieux! J'en referai ça c'est sûr et certain! Félicitations!!!! Rien est à changer dans la recette!",marie_6320,30/07/20,5
http://www.marmiton.org/recettes/recette-avis_verrines-aux-fraises-mascarpone-et-creme-anglaise_72416.aspx,Verrines aux fraises mascarpone et crème anglaise,"La prochaine fois, j'essayerai avec la même méthode que le tiramisu... j'y arriverai beaucoup mieux!",mappie,12/07/20,2
http://www.marmiton.org/recettes/recette-avis_verrines-aux-fraises-mascarpone-et-creme-anglaise_72416.aspx,Verrines aux fraises mascarpone et crème anglaise,"C'est un dessert exquis, idéal pour l'été car assez rafraîchissant.",celine_7059,06/07/20,5
http://www.marmiton.org/recettes/recette-avis_gateau-aux-fraises-et-framboises_337615.aspx,Gâteau aux fraises et framboises,NA,NA,NA,NA
http://www.marmiton.org/recettes/recette-avis_verrine-de-mousse-de-fruits-rouges_62082.aspx,Verrine de mousse de fruits rouges,Mousse bien une fois prete mais apres une heure au frigo beaucoup de coulis se dégage. bien si cest pour servir de suite mais il manquera la fraicheur,loic09400,17/12/20,4
http://www.marmiton.org/recettes/recette-avis_verrine-de-mousse-de-fruits-rouges_62082.aspx,Verrine de mousse de fruits rouges,Excellent et très facile à réaliser !,jennyjane95,25/06/20,5
http://www.marmiton.org/recettes/recette-avis_verrine-de-mousse-de-fruits-rouges_62082.aspx,Verrine de mousse de fruits rouges,Super simple et très bon,Korado,15/12/20,5
http://www.marmiton.org/recettes/recette-avis_verrine-de-mousse-de-fruits-rouges_62082.aspx,Verrine de mousse de fruits rouges,Je me retrouve avec un coulis que j'ai été obligé de transformer en glace pour que ça ressemble à quelque chose lorsque je l'ai servi à mes invités !!! Obligé de mettre du colorant pour que ça ait une couleur jolie contrairement à la couleur de la préparation...,marmiton2000,06/07/20,1
http://www.marmiton.org/recettes/recette-avis_verrine-de-mousse-de-fruits-rouges_62082.aspx,Verrine de mousse de fruits rouges,Je me retrouve avec un coulis de fruits rouges ! Rien ne va ! Je ne suis pas le seul commentaire de ce genre ! ,cecile92200,14/01/20,1
http://www.marmiton.org/recettes/recette-avis_verrine-de-mousse-de-fruits-rouges_62082.aspx,Verrine de mousse de fruits rouges,"En tant que cuisinière avertie qui a suivi la recette à la lettre et bien j'ai été très déçue par l'aspect ""coulis"" malgré un réfrigération assez longue.",kocklicow,27/12/20,1
http://www.marmiton.org/recettes/recette-avis_verrine-de-mousse-de-fruits-rouges_62082.aspx,Verrine de mousse de fruits rouges,"J'ai suivi cette recette à la lettre et je me suis retrouvée avec des verrines qui ressemblaient plus à un milk shake qu'à une moussev! J'ai pourtant l'habitude de faire des desserts, donc pour ma part, grosse déception... Dommage, mais merci quand même.",seve02,21/11/20,2
http://www.marmiton.org/recettes/recette-avis_verrine-de-mousse-de-fruits-rouges_62082.aspx,Verrine de mousse de fruits rouges,"Par contre, j'ai fait ma mousse la veille (pensant qu'elle prendrait mieux) mais une partie du coulis sucré s'est déposé sur le fond des verrines. En tout cas, tous les invités ont apprécié et les terrines ont été vidées en 5 min.",CookIsa,24/04/20,4
http://www.marmiton.org/recettes/recette-avis_verrine-de-mousse-de-fruits-rouges_62082.aspx,Verrine de mousse de fruits rouges,"Et pour ceux qui veulent faire light, je mets un pot (100g) de fromage blanc 20% à la place de la crème, 2 fois moins de sucre, légèreté et goût garantis. Vraiment délicieux !",sylviane0412,25/11/20,5
http://www.marmiton.org/recettes/recette-avis_verrine-de-mousse-de-fruits-rouges_62082.aspx,Verrine de mousse de fruits rouges,"Un conseil cependant : systématiquement tamiser pour enlever pépins (framboises etc), les petites peaux (myrtilles...). Sinon, j'ai mélangé avec des fruits rouges entiers pour donner plus de consistance et de goût de fruits.",helene_30,16/05/20,2
http://www.marmiton.org/recettes/recette-avis_verrine-de-mousse-de-fruits-rouges_62082.aspx,Verrine de mousse de fruits rouges,"Cette recette est vraiment excellente, surtout en été !!!! C'est frais et léger.",lenangell,24/04/20,5
http://www.marmiton.org/recettes/recette-avis_verrine-de-mousse-de-fruits-rouges_62082.aspx,Verrine de mousse de fruits rouges,Ajouter une feuille de gélatine fondue dans un fond d'eau chaude...Ca tient mieux. Sinon dessert d'été sympa et vite fait!,malou_50,20/03/20,4
http://www.marmiton.org/recettes/recette-avis_verrine-de-mousse-de-fruits-rouges_62082.aspx,Verrine de mousse de fruits rouges,Un vrai régal !,doudou64,06/03/20,4
http://www.marmiton.org/recettes/recette-avis_gateau-a-la-creme-de-marrons_25401.aspx,Gâteau à la crème de marrons,Je mets un peu + d'oeufs qu'indiqués (1 ou 2 blancs en plus) pour plus de moelleux.,LiliBarth,11/12/20,5
http://www.marmiton.org/recettes/recette-avis_gateau-a-la-creme-de-marrons_25401.aspx,Gâteau à la crème de marrons,"Excellent gâteau et super facile à faire, merci Marmiton c'est trop bon",mjpaupert,29/09/20,5
http://www.marmiton.org/recettes/recette-avis_gateau-a-la-creme-de-marrons_25401.aspx,Gâteau à la crème de marrons,J'ai testé la recette cet après midi. Je l'ai faite sans œufs mais avec du substitut d’œuf et la recette est très bonne mais très sucré.,mespetitsdelices,05/05/20,4
http://www.marmiton.org/recettes/recette-avis_gateau-a-la-creme-de-marrons_25401.aspx,Gâteau à la crème de marrons,"Délicieux ! Très moelleux, on sent bien la crème de marron, j'ai adoré ce gâteau et je crois bien ne pas avoir été la seule. La recette n'étais pas très précise pour la fécule, elle ne précisaient pas si les cuillères devaient être rases ou bombées, j'ai opté pour bombées et c'était parfait.",mitonne,26/01/20,5
http://www.marmiton.org/recettes/recette-avis_gateau-a-la-creme-de-marrons_25401.aspx,Gâteau à la crème de marrons,Je l'ai fait aujourd'hui pour la 1ère fois très bon et facile à faire je le referai ,Brigitte38,25/11/20,5
http://www.marmiton.org/recettes/recette-avis_gateau-a-la-creme-de-marrons_25401.aspx,Gâteau à la crème de marrons,J'ai dû le laisser au four 35 min au lieu de 20 et le cœur était encore coulant. Difficile d'obtenir une bonne cuisson mais le goût est excellent.,chris625,16/02/20,3
http://www.marmiton.org/recettes/recette-avis_gateau-a-la-creme-de-marrons_25401.aspx,Gâteau à la crème de marrons,"Ce gâteaux est très facilement réalisable, léger etexcellent pour ceux qui aime la crème de marron. ",lamarie9785,07/07/20,5
http://www.marmiton.org/recettes/recette-avis_gateau-a-la-creme-de-marrons_25401.aspx,Gâteau à la crème de marrons,Excellent gâteau pour celui qui aime la crème de marron. Recette que je garde et que je referai.,ferra,25/04/20,5
http://www.marmiton.org/recettes/recette-avis_sables-a-la-confiture-de-framboises_166914.aspx,Sablés à la confiture de framboises,S'effrite complètement. Impossible de constituer une forme qui se tienne.,Engie_du_42,16/04/20,1
http://www.marmiton.org/recettes/recette-avis_sables-a-la-confiture-de-framboises_166914.aspx,Sablés à la confiture de framboises,Super!,Malikahadou,27/01/20,5
http://www.marmiton.org/recettes/recette-avis_sables-a-la-confiture-de-framboises_166914.aspx,Sablés à la confiture de framboises,J adore,paquerettes13,09/04/20,5
http://www.marmiton.org/recettes/recette-avis_sables-a-la-confiture-de-framboises_166914.aspx,Sablés à la confiture de framboises,Très bonne recette mais j'ai fais une petite variante j'ajoute la confiture après cuisson pour ne pas la sur-cuire et je referme avec une autre moitié découpé en coeur.,ptitelolo,23/08/20,4
http://www.marmiton.org/recettes/recette-avis_mini-clafoutis-aux-mures_28342.aspx,Mini-clafoutis aux mûres,C'est vraiment une histoire de goût. ,clalea,18/08/20,4
http://www.marmiton.org/recettes/recette-avis_mini-clafoutis-aux-mures_28342.aspx,Mini-clafoutis aux mûres,Super bon et très facile a faire ! ,sylviep22,05/08/20,4
http://www.marmiton.org/recettes/recette-avis_mini-clafoutis-aux-mures_28342.aspx,Mini-clafoutis aux mûres,"J'ai essayé cette recette, cela ressemble davantage à un flan qu'à un clafoutis... les mûres ne sont pas du tout assez cuites malgré un temps de cuisson prolongée et sont remontées à la surface. Et le tout est très sec. Déception !",ndsnowep,16/08/20,2
http://www.marmiton.org/recettes/recette-avis_mini-clafoutis-aux-mures_28342.aspx,Mini-clafoutis aux mûres,Merci c'était parfait !! Bon j'ai un peu changé : je l'ai fait en grand format et avec plus de 500g de mûres (il fallait écouler la récolte du jardin). C'est vrai que ce n'est pas très sucré mais ça permet de mieux sentir le goût de la mûre. ,toupetbis,03/10/20,5
